Customer ID,Hour,Weekday,BehaviorCluster
12346.0,12.303030303030303,0,2
12347.0,14.0,6,1
12348.0,14.0,0,0
12349.0,10.264705882352942,3,2
12351.0,15.0,0,0
12352.0,10.0,0,2
12353.0,12.0,2,2
12355.0,11.0,4,1
12356.0,11.154761904761905,0,2
12357.0,10.024242424242424,1,2
12358.0,9.741379310344827,0,2
12359.0,10.948717948717949,1,2
12360.0,9.988636363636363,4,2
12361.0,14.631578947368421,1,0
12362.0,10.0,1,2
12366.0,10.0,1,2
12368.0,15.0,6,1
12369.0,13.32258064516129,3,0
12370.0,9.457142857142857,1,2
12371.0,14.634615384615385,1,0
12373.0,12.432432432432432,3,2
12374.0,12.94,4,1
12376.0,8.615384615384615,0,2
12377.0,16.493333333333332,3,0
12378.0,14.0,2,0
12379.0,13.121951219512194,2,0
12380.0,13.820809248554914,1,0
12385.0,15.0,3,0
12386.0,9.0,2,2
12387.0,16.0,2,0
12388.0,12.0,3,2
12389.0,12.510204081632653,1,2
12391.0,10.917127071823204,2,2
12392.0,14.0,1,0
12393.0,14.883720930232558,0,0
12395.0,11.428571428571429,4,1
12396.0,13.0,2,0
12399.0,8.411764705882353,4,2
12400.0,13.0,3,0
12402.0,11.59322033898305,6,1
12403.0,11.0,1,2
12404.0,16.0,1,0
12406.0,13.37704918032787,4,1
12408.0,13.0,4,1
12409.0,12.87741935483871,6,1
12410.0,13.0,6,1
12411.0,9.0,1,2
12412.0,13.93939393939394,4,1
12413.0,13.0,1,0
12414.0,12.2,3,2
12415.0,12.10377358490566,0,2
12416.0,10.0,6,1
12417.0,11.561797752808989,4,1
12418.0,12.117647058823529,4,1
12419.0,10.0,4,2
12421.0,13.8,2,0
12422.0,12.93984962406015,4,1
12423.0,10.35,2,2
12424.0,11.209677419354838,2,2
12425.0,14.0,4,1
12426.0,8.0,0,2
12427.0,10.0,4,2
12429.0,13.144736842105264,4,1
12431.0,10.623529411764705,4,1
12433.0,11.744755244755245,2,2
12434.0,13.0,1,0
12435.0,13.355263157894736,3,0
12437.0,11.357142857142858,1,2
12439.0,8.222222222222221,0,2
