Customer_ID,Frequency,Recency,Monetary,AOV,PF,ProfitMargin,CLTV,CLTV_Segment,Churn_Prob,Revenue_Risk,Retention_Offer_Flag,VIP_Service_Flag,Time_Based_Trigger,Potential_DropOff
12380.0,7,197,6951.49,993.07,0.0355329949238578,0.1,1287.966421319797,A,1.0,1287.966421319797,0,0,1,0
12409.0,4,144,12346.62,3086.655,0.0277777777777777,0.1,3129.525208333333,A,1.0,3129.525208333333,1,1,1,0
12415.0,7,152,19543.84,2791.977142857143,0.0460526315789473,0.1,4693.093157894737,A,0.98,4599.231294736842,1,1,1,0
12433.0,5,110,7205.39,1441.078,0.0454545454545454,0.1,2390.8794090909096,A,0.99,2366.9706150000006,0,0,1,0
12471.0,49,358,20139.74,411.01510204081626,0.1368715083798882,0.1,2053.353379888268,A,1.0,2053.353379888268,0,0,1,0
12472.0,13,356,11308.48,869.8830769230769,0.0365168539325842,0.1,1159.4368539325842,A,1.0,1159.4368539325842,0,0,1,0
12476.0,12,105,7298.99,608.2491666666666,0.1142857142857142,0.1,2537.267952380952,A,1.0,2537.267952380952,0,0,1,0
12477.0,3,223,7056.63,2352.21,0.0134529147982062,0.1,1155.0089461883408,A,1.0,1155.0089461883408,0,0,1,0
12481.0,6,241,6765.07,1127.5116666666663,0.0248962655601659,0.1,1024.5852904564315,A,1.0,1024.5852904564315,0,0,1,0
12621.0,16,302,11086.14,692.88375,0.0529801324503311,0.1,1339.8811589403974,A,1.0,1339.8811589403974,0,0,1,0
12647.0,27,327,14201.53,525.9825925925926,0.0825688073394495,0.1,1585.1860703363918,A,1.0,1585.1860703363918,0,0,1,0
12678.0,9,325,16652.72,1850.3022222222223,0.0276923076923076,0.1,1870.228553846154,A,1.0,1870.228553846154,0,0,1,0
12681.0,24,358,17080.74,711.6975000000001,0.0670391061452514,0.1,1741.4720949720672,A,1.0,1741.4720949720672,0,0,1,0
12682.0,23,373,11745.69,510.6821739130435,0.0616621983914209,0.1,1149.3771715817695,A,1.0,1149.3771715817695,0,0,1,0
12705.0,5,150,4893.81,978.762,0.0333333333333333,0.1,1190.8271,A,1.0,1190.8271,0,0,1,0
12709.0,20,363,21356.82,1067.841,0.0550964187327823,0.1,2147.4488429752064,A,1.0,2147.4488429752064,0,0,1,0
12731.0,5,205,6879.8,1375.96,0.024390243902439,0.1,1224.9400000000005,A,1.0,1224.9400000000005,0,0,1,0
12744.0,4,131,4037.77,1009.4425,0.0305343511450381,0.1,1125.0275190839693,A,1.0,1125.0275190839693,0,0,1,0
12748.0,144,369,22879.66,158.8865277777778,0.3902439024390244,0.1,2263.164200542006,A,0.98,2217.9009165311654,0,0,1,0
12921.0,39,371,19333.95,495.7423076923077,0.105121293800539,0.1,1902.127156334232,A,1.0,1902.127156334232,0,0,1,0
12931.0,42,357,50291.38,1197.4138095238095,0.1176470588235294,0.1,5141.835770308124,A,1.0,5141.835770308124,1,1,1,0
12939.0,12,317,13683.0,1140.25,0.0378548895899053,0.1,1575.4873817034702,A,1.0,1575.4873817034702,0,0,1,0
12949.0,14,353,11359.48,811.3914285714285,0.0396600566572237,0.1,1174.5637960339943,A,1.0,1174.5637960339943,0,0,1,0
13001.0,20,331,14353.28,717.664,0.0604229607250755,0.1,1582.7635045317222,A,1.0,1582.7635045317222,0,0,1,0
13027.0,13,303,10423.2,801.7846153846154,0.0429042904290429,0.1,1255.6,A,1.0,1255.6,0,0,1,0
13069.0,16,173,5247.01,327.938125,0.0924855491329479,0.1,1107.0281213872831,A,1.0,1107.0281213872831,0,0,1,0
13078.0,32,372,16904.510000000002,528.2659375000001,0.086021505376344,0.1,1658.6414381720435,A,1.0,1658.6414381720435,0,0,1,0
13081.0,19,360,30867.77,1624.6194736842106,0.0527777777777777,0.1,3129.648902777778,A,1.0,3129.648902777778,1,1,1,0
13089.0,109,368,57912.03,531.3030275229357,0.296195652173913,0.1,5743.992105978261,A,1.0,5743.992105978261,1,1,1,0
